No,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Jenis Bencana,Tanggal,Meninggal,Hilang,Terluka,Mengungsi
5325,16,SUMATERA SELATAN,1603,MUARA ENIM,KEBAKARAN,21/2/2012,0,0,0,0
5101,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,21/3/2012,0,0,0,0
1308,16,"	SUMATERA SELATAN",1607,BANYUASIN,PUTING BELIUNG,21/3/2014,0,0,0,0
2860,16,SUMATERA SELATAN,1603,MUARA ENIM,BANJIR,21/4/2013,0,0,0,0
6916,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,21/5/2011,0,0,0,0
4731,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,KEBAKARAN,21/5/2012,0,0,0,0
8525,16,SUMATERA SELATAN,1604,LAHAT,BANJIR,21/9/2010,0,0,0,0
8527,16,SUMATERA SELATAN,1673,PAGAR ALAM,BANJIR,21/9/2010,0,0,0,0
8524,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,21/9/2010,0,0,0,0
3373,16,SUMATERA SELATAN,1604,LAHAT,BANJIR,22/1/2013,0,0,0,0
13617,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,KEBAKARAN,22/10/2007,0,0,0,0
3970,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,22/10/2012,0,0,0,0
3969,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,22/10/2012,0,0,0,0
3968,16,SUMATERA SELATAN,1601,OGAN KOMERING ULU,KEBAKARAN,22/10/2012,0,0,0,0
725,16,"	SUMATERA SELATAN",1699,PENUKAL ABAB LEMATANG ILIR,PUTING BELIUNG,22/10/2014,0,0,0,0
3814,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,22/11/2012,0,0,0,0
8088,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,22/12/2010,0,0,0,0
3663,16,SUMATERA SELATAN,1607,BANYUASIN,BANJIR,22/12/2012,0,0,0,0
1895,16,SUMATERA SELATAN,1607,BANYUASIN,PUTING BELIUNG,22/12/2013,0,0,0,0
9697,16,SUMATERA SELATAN,1606,MUSI BANYU ASIN,BANJIR,22/2/2010,0,0,0,0
9696,16,SUMATERA SELATAN,1605,MUSI RAWAS,BANJIR,22/2/2010,0,0,0,0
9695,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,BANJIR,22/2/2010,0,0,0,0
6909,16,SUMATERA SELATAN,1610,OGAN ILIR,BANJIR,22/5/2011,0,0,0,0
4728,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,KEBAKARAN,22/5/2012,0,0,0,0
2725,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,22/5/2013,0,0,0,0
17892,16,SUMATERA SELATAN,1607,BANYUASIN,KEBAKARAN,22/6/1998,0,0,0,0
13834,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,22/6/2007,0,0,0,0
8770,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,22/7/2010,0,0,0,0
6619,16,SUMATERA SELATAN,1610,OGAN ILIR,KEBAKARAN,22/7/2011,0,0,0,0
2476,16,SUMATERA SELATAN,1610,OGAN ILIR,TANAH LONGSOR,22/7/2013,0,0,0,0
8663,16,SUMATERA SELATAN,1609,OGAN KOMERING ULU SELATAN,PUTING BELIUNG,22/8/2010,0,0,0,0
4085,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,22/9/2012,0,0,0,0
14214,16,SUMATERA SELATAN,1603,MUARA ENIM,BANJIR,23/1/2007,0,0,0,0
5609,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,23/1/2012,0,0,0,0
12388,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,BANJIR,23/10/2008,0,0,0,0
17789,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,23/11/1998,0,0,0,0
569,16,"	SUMATERA SELATAN",1672,KOTA PRABUMULIH,PUTING BELIUNG,23/11/2014,0,0,0,0
15899,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,BANJIR,23/12/2004,0,0,0,0
5937,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,23/12/2011,0,0,0,0
9692,16,SUMATERA SELATAN,1605,MUSI RAWAS,BANJIR,23/2/2010,0,0,0,0
7608,16,SUMATERA SELATAN,1603,MUARA ENIM,KEBAKARAN,23/2/2011,0,0,0,0
7409,16,SUMATERA SELATAN,1603,MUARA ENIM,KEBAKARAN,23/3/2011,0,0,0,0
5086,16,SUMATERA SELATAN,1610,OGAN ILIR,PUTING BELIUNG,23/3/2012,0,0,0,0
13936,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,23/4/2007,0,0,0,0
13937,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,23/4/2007,0,0,0,0
4858,16,SUMATERA SELATAN,1609,OGAN KOMERING ULU TIMUR,PUTING BELIUNG,23/4/2012,0,0,0,0
9040,16,SUMATERA SELATAN,1671,PALEMBANG,KEBAKARAN,23/5/2010,0,0,2,0
6903,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,23/5/2011,0,0,0,0
6759,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,23/6/2011,0,0,3,0
4611,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,23/6/2012,0,0,0,0
8661,16,SUMATERA SELATAN,1673,PAGAR ALAM,PUTING BELIUNG,23/8/2010,0,0,0,0
13661,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,23/9/2007,0,0,0,0
18186,16,SUMATERA SELATAN,1604,LAHAT,LETUSAN GUNUNG API,24/1/1934,0,0,0,0
5595,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,PUTING BELIUNG,24/1/2012,0,0,0,0
12385,16,SUMATERA SELATAN,1603,MUARA ENIM,BANJIR,24/10/2008,0,0,0,220
6203,16,SUMATERA SELATAN,1611,EMPAT LAWANG,PUTING BELIUNG,24/10/2011,0,0,0,0
3964,16,SUMATERA SELATAN,1611,EMPAT LAWANG,TANAH LONGSOR,24/10/2012,0,0,0,0
6079,16,SUMATERA SELATAN,1674,KOTA LUBUK LINGGAU,KEBAKARAN,24/11/2011,0,0,0,0
13484,16,SUMATERA SELATAN,1606,MUSI BANYU ASIN,BANJIR,24/12/2007,0,0,0,0
12137,16,SUMATERA SELATAN,1603,MUARA ENIM,BANJIR,24/12/2008,0,0,0,0
9686,16,SUMATERA SELATAN,1671,PALEMBANG,BANJIR,24/2/2010,0,0,0,0
9687,16,SUMATERA SELATAN,1673,PAGAR ALAM,TANAH LONGSOR,24/2/2010,0,0,0,0
5308,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,KEBAKARAN,24/2/2012,0,0,0,0
7400,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,24/3/2011,0,0,0,0
5080,16,SUMATERA SELATAN,1603,MUARA ENIM,KEBAKARAN,24/3/2012,0,0,0,0
9248,16,SUMATERA SELATAN,1610,OGAN ILIR,PUTING BELIUNG,24/4/2010,0,0,0,0
7157,16,SUMATERA SELATAN,1608,OGAN KOMERING ULU SELATAN,BANJIR,24/4/2011,0,0,0,0
7158,16,SUMATERA SELATAN,1608,OGAN KOMERING ULU SELATAN,PUTING BELIUNG,24/4/2011,0,0,0,0
4852,16,SUMATERA SELATAN,1603,MUARA ENIM,BANJIR,24/4/2012,0,0,0,0
4854,16,SUMATERA SELATAN,1607,BANYUASIN,PUTING BELIUNG,24/4/2012,0,0,0,0
4853,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,24/4/2012,0,0,0,0
9035,16,SUMATERA SELATAN,1673,PAGAR ALAM,KEBAKARAN,24/5/2010,0,0,0,0
2714,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,PUTING BELIUNG,24/5/2013,0,0,0,0
2715,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,PUTING BELIUNG,24/5/2013,0,0,0,0
2713,16,SUMATERA SELATAN,1610,OGAN ILIR,KEBAKARAN,24/5/2013,0,0,0,0
4602,16,SUMATERA SELATAN,1607,BANYUASIN,PUTING BELIUNG,24/6/2012,0,0,0,0
978,16,"	SUMATERA SELATAN",1606,MUSI BANYU ASIN,TANAH LONGSOR,24/6/2014,0,0,0,0
8655,16,SUMATERA SELATAN,1611,EMPAT LAWANG,PUTING BELIUNG,24/8/2010,0,0,0,0
6463,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,24/8/2011,0,0,0,0
13660,16,SUMATERA SELATAN,1610,OGAN ILIR,KEBAKARAN,24/9/2007,0,0,0,0
6294,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,24/9/2011,0,0,0,0
7801,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,25/1/2011,0,0,0,0
5565,16,SUMATERA SELATAN,1604,LAHAT,PUTING BELIUNG,25/1/2012,0,0,0,0
1612,16,"	SUMATERA SELATAN",1611,EMPAT LAWANG,TANAH LONGSOR,25/1/2014,0,0,0,0
544,16,"	SUMATERA SELATAN",1606,MUSI BANYU ASIN,BANJIR,25/11/2014,0,0,0,0
16761,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,BANJIR,25/12/2003,0,0,0,5000
3647,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,KEBAKARAN,25/12/2012,0,0,0,0
7597,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,25/2/2011,0,0,0,0
5304,16,SUMATERA SELATAN,1604,LAHAT,BANJIR,25/2/2012,0,0,0,0
7393,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,25/3/2011,0,0,0,0
5075,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,25/3/2012,0,0,0,0
7143,16,SUMATERA SELATAN,1604,LAHAT,BANJIR,25/4/2011,0,0,0,0
7144,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,25/4/2011,0,0,0,0
4846,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,25/4/2012,0,0,0,0
2840,16,SUMATERA SELATAN,1604,LAHAT,PUTING BELIUNG,25/4/2013,0,0,0,0
4715,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,25/5/2012,0,0,0,0
2706,16,SUMATERA SELATAN,1607,BANYUASIN,KEBAKARAN,25/5/2013,0,0,0,0
12466,16,SUMATERA SELATAN,1604,LAHAT,PUTING BELIUNG,25/9/2008,0,0,0,0
8497,16,SUMATERA SELATAN,1611,EMPAT LAWANG,BANJIR,25/9/2010,0,0,0,0
3960,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,26/10/2012,0,0,0,0
18179,16,SUMATERA SELATAN,1604,LAHAT,LETUSAN GUNUNG API,26/11/1936,0,0,0,0
3801,16,SUMATERA SELATAN,1604,LAHAT,BANJIR,26/11/2012,0,0,0,0
533,16,"	SUMATERA SELATAN",1606,MUSI BANYU ASIN,PUTING BELIUNG,26/11/2014,0,0,0,0
5296,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,26/2/2012,0,0,0,0
3176,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,26/2/2013,0,0,3,0
2834,16,SUMATERA SELATAN,1604,LAHAT,BANJIR,26/4/2013,0,0,0,0
6745,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,26/6/2011,0,0,0,0
4596,16,SUMATERA SELATAN,1601,OGAN KOMERING ULU,KEBAKARAN,26/6/2012,0,0,0,0
6608,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,26/7/2011,0,0,0,0
4442,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,26/7/2012,0,0,0,0
4441,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,26/7/2012,0,0,0,0
8489,16,SUMATERA SELATAN,1611,EMPAT LAWANG,TANAH LONGSOR,26/9/2010,0,0,0,0
6291,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KECELAKAAN TRANSPORTASI,26/9/2011,0,0,2,0
3356,16,SUMATERA SELATAN,1606,MUSI BANYU ASIN,BANJIR,27/1/2013,0,0,0,0
13535,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,27/11/2007,0,0,0,0
3799,16,SUMATERA SELATAN,1611,EMPAT LAWANG,TANAH LONGSOR,27/11/2012,0,0,0,0
5291,16,SUMATERA SELATAN,1604,LAHAT,TANAH LONGSOR,27/2/2012,0,0,0,0
3037,16,SUMATERA SELATAN,1611,EMPAT LAWANG,TANAH LONGSOR,27/3/2013,0,0,0,0
7131,16,SUMATERA SELATAN,1603,MUARA ENIM,BANJIR,27/4/2011,0,0,0,0
7130,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,KEBAKARAN,27/4/2011,0,0,0,0
4838,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,KEBAKARAN,27/4/2012,0,0,0,0
2832,16,SUMATERA SELATAN,1608,OGAN KOMERING ULU SELATAN,BANJIR,27/4/2013,0,0,0,0
2692,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,27/5/2013,0,0,0,0
4438,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,KEBAKARAN,27/7/2012,0,0,0,0
4278,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN HUTAN DAN LAHAN,27/8/2012,0,0,0,0
4068,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,27/9/2012,0,0,0,0
5539,16,SUMATERA SELATAN,1607,BANYUASIN,PUTING BELIUNG,28/1/2012,0,0,0,0
6188,16,SUMATERA SELATAN,1607,BANYUASIN,PUTING BELIUNG,28/10/2011,0,0,0,0
12253,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,BANJIR,28/11/2008,0,0,0,0
3637,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,BANJIR,28/12/2012,0,0,0,0
5059,16,SUMATERA SELATAN,1611,EMPAT LAWANG,PUTING BELIUNG,28/3/2012,0,0,0,0
5060,16,SUMATERA SELATAN,1611,EMPAT LAWANG,PUTING BELIUNG,28/3/2012,0,0,0,0
5061,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,PUTING BELIUNG,28/3/2012,0,0,0,0
5058,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,28/3/2012,0,0,0,0
1284,16,"	SUMATERA SELATAN",1671,KOTA PALEMBANG,PUTING BELIUNG,28/3/2014,0,0,2,0
1147,16,"	SUMATERA SELATAN",1611,EMPAT LAWANG,PUTING BELIUNG,28/4/2014,0,0,0,0
6886,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,28/5/2011,0,0,0,0
1045,16,"	SUMATERA SELATAN",1603,MUARA ENIM,PUTING BELIUNG,28/5/2014,0,0,0,0
6736,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,28/6/2011,0,0,0,0
4590,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,28/6/2012,0,0,0,0
16879,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,KEKERINGAN,28/8/2003,0,0,0,0
14187,16,SUMATERA SELATAN,1605,MUSI RAWAS,BANJIR,29/1/2007,0,0,0,0
14186,16,SUMATERA SELATAN,1604,LAHAT,BANJIR DAN TANAH LONGSOR,29/1/2007,0,0,0,0
5526,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,KEBAKARAN,29/1/2012,0,0,0,0
3340,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,BANJIR,29/1/2013,0,0,0,0
16807,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,BANJIR,29/11/2003,0,0,0,198
3793,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,BANJIR,29/11/2012,0,0,0,0
2825,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,PUTING BELIUNG,29/4/2013,0,0,0,0
4702,16,SUMATERA SELATAN,1603,MUARA ENIM,KEBAKARAN,29/5/2012,0,0,0,0
2683,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,29/5/2013,0,0,0,0
2684,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,29/5/2013,0,0,0,0
13825,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,29/6/2007,0,0,0,0
4589,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,29/6/2012,0,0,0,0
4588,16,SUMATERA SELATAN,1601,OGAN KOMERING ULU,KEBAKARAN,29/6/2012,0,0,0,0
6600,16,SUMATERA SELATAN,1607,BANYUASIN,KEBAKARAN,29/7/2011,0,0,0,0
6450,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,29/8/2011,0,0,0,0
6451,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,29/8/2011,0,0,0,0
4272,16,SUMATERA SELATAN,1601,OGAN KOMERING ULU,KEBAKARAN,29/8/2012,0,0,0,0
8475,16,SUMATERA SELATAN,1671,PALEMBANG,KEBAKARAN,29/9/2010,0,0,0,0
4062,16,SUMATERA SELATAN,1610,OGAN ILIR,KEBAKARAN,29/9/2012,0,0,0,294
14257,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,PUTING BELIUNG,3/1/2007,0,0,0,0
7999,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,3/1/2011,0,0,0,0
7998,16,SUMATERA SELATAN,1603,MUARA ENIM,TANAH LONGSOR,3/1/2011,0,0,0,60
4032,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,3/10/2012,0,0,0,0
4031,16,SUMATERA SELATAN,1609,OGAN KOMERING ULU TIMUR,PUTING BELIUNG,3/10/2012,0,0,0,0
2031,16,SUMATERA SELATAN,1606,MUSI BANYU ASIN,BANJIR,3/12/2013,0,0,0,0
2030,16,SUMATERA SELATAN,1601,OGAN KOMERING ULU,BANJIR,3/12/2013,0,0,0,0
2032,16,SUMATERA SELATAN,1699,PALI,BANJIR,3/12/2013,0,0,0,0
14057,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,3/3/2007,0,0,0,0
15596,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,BANJIR,3/4/2005,0,0,0,0
4999,16,SUMATERA SELATAN,1609,OGAN KOMERING ULU TIMUR,PUTING BELIUNG,3/4/2012,0,0,0,0
5000,16,SUMATERA SELATAN,1609,OGAN KOMERING ULU TIMUR,PUTING BELIUNG,3/4/2012,0,0,0,0
6675,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,3/7/2011,0,0,0,0
7774,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,30/1/2011,0,0,0,0
5513,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,PUTING BELIUNG,30/1/2012,0,0,0,0
3331,16,SUMATERA SELATAN,1605,MUSI RAWAS,BANJIR,30/1/2013,0,0,0,0
6180,16,SUMATERA SELATAN,1610,OGAN ILIR,PUTING BELIUNG,30/10/2011,0,0,0,0
6044,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,30/11/2011,0,0,0,0
3789,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,30/11/2012,0,0,0,0
7347,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,30/3/2011,0,0,0,0
6880,16,SUMATERA SELATAN,1609,OGAN KOMERING ULU TIMUR,KEBAKARAN,30/5/2011,0,0,0,0
13823,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,30/6/2007,0,0,0,0
8866,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,30/6/2010,0,0,0,0
8633,16,SUMATERA SELATAN,1671,PALEMBANG,KEBAKARAN,30/8/2010,0,0,0,0
6446,16,SUMATERA SELATAN,1674,KOTA LUBUK LINGGAU,TANAH LONGSOR,30/8/2011,0,0,0,0
16050,16,SUMATERA SELATAN,1608,OGAN KOMERING ULU TIMUR,KEBAKARAN,30/9/2004,0,0,0,4500
8473,16,SUMATERA SELATAN,1610,OGAN ILIR,KEBAKARAN,30/9/2010,0,0,0,0
9938,16,SUMATERA SELATAN,1604,LAHAT,BANJIR,31/1/2010,0,0,0,0
13598,16,SUMATERA SELATAN,1604,LAHAT,PUTING BELIUNG,31/10/2007,0,0,0,0
1851,16,SUMATERA SELATAN,1610,OGAN ILIR,PUTING BELIUNG,31/12/2013,0,0,0,0
7341,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,PUTING BELIUNG,31/3/2011,0,0,0,0
1275,16,"	SUMATERA SELATAN",1608,OGAN KOMERING ULU SELATAN,PUTING BELIUNG,31/3/2014,0,0,1,0
1274,16,"	SUMATERA SELATAN",1608,OGAN KOMERING ULU SELATAN,GEMPA BUMI,31/3/2014,0,0,0,0
5827,16,SUMATERA SELATAN,1611,EMPAT LAWANG,BANJIR,4/1/2012,0,0,0,0
3513,16,SUMATERA SELATAN,1605,MUSI RAWAS,BANJIR,4/1/2013,0,0,0,0
13631,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,KEBAKARAN,4/10/2007,0,0,0,0
9873,16,SUMATERA SELATAN,1609,OGAN KOMERING ULU SELATAN,BANJIR,4/2/2010,0,0,0,0
7706,16,SUMATERA SELATAN,1604,LAHAT,TANAH LONGSOR,4/2/2011,0,0,0,0
5442,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,4/2/2012,0,0,0,0
5441,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,4/2/2012,0,0,0,0
14056,16,SUMATERA SELATAN,1604,LAHAT,KEBAKARAN,4/3/2007,0,0,0,0
11540,16,SUMATERA SELATAN,1603,MUARA ENIM,PUTING BELIUNG,4/3/2009,0,0,2,0
7532,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,PUTING BELIUNG,4/3/2011,0,0,0,0
1249,16,"	SUMATERA SELATAN",1673,KOTA PAGAR ALAM,TANAH LONGSOR,4/4/2014,0,0,0,0
4662,16,SUMATERA SELATAN,1607,BANYUASIN,KEBAKARAN,4/6/2012,0,0,0,0
4663,16,SUMATERA SELATAN,1607,BANYUASIN,PUTING BELIUNG,4/6/2012,0,0,0,0
10908,16,SUMATERA SELATAN,1672,KOTA PAGAR ALAM,KECELAKAAN TRANSPORTASI,4/8/2009,0,0,0,0
4169,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,4/9/2012,0,0,0,0
7979,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,5/1/2011,0,0,0,0
5821,16,SUMATERA SELATAN,1611,EMPAT LAWANG,BANJIR,5/1/2012,0,0,0,0
3503,16,SUMATERA SELATAN,1610,OGAN ILIR,BANJIR,5/1/2013,0,0,0,0
16012,16,SUMATERA SELATAN,1608,OGAN KOMERING ULU TIMUR,PUTING BELIUNG,5/10/2004,0,0,0,50
3750,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,BANJIR,5/12/2012,0,0,0,0
3747,16,SUMATERA SELATAN,1605,MUSI RAWAS,BANJIR,5/12/2012,0,0,0,0
3748,16,SUMATERA SELATAN,1607,BANYUASIN,KEBAKARAN,5/12/2012,0,0,0,0
3749,16,SUMATERA SELATAN,1609,OGAN KOMERING ULU TIMUR,PUTING BELIUNG,5/12/2012,0,0,0,0
9864,16,SUMATERA SELATAN,1601,OGAN KOMERING ULU,BANJIR,5/2/2010,0,0,0,0
9343,16,SUMATERA SELATAN,1671,PALEMBANG,KEBAKARAN,5/4/2010,0,0,0,0
1244,16,"	SUMATERA SELATAN",1611,EMPAT LAWANG,BANJIR,5/4/2014,0,0,0,0
1245,16,"	SUMATERA SELATAN",1673,KOTA PAGAR ALAM,BANJIR,5/4/2014,0,0,0,0
7031,16,SUMATERA SELATAN,1607,BANYUASIN,PUTING BELIUNG,5/5/2011,0,0,0,0
8696,16,SUMATERA SELATAN,1671,PALEMBANG,KEBAKARAN,5/8/2010,0,0,0,0
15280,16,SUMATERA SELATAN,1607,BANYUASIN,PUTING BELIUNG,6/11/2005,0,0,0,0
6146,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,6/11/2011,0,0,0,0
11527,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,BANJIR,6/3/2009,0,0,0,200
5227,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,6/3/2012,0,0,0,0
5228,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,6/3/2012,0,0,0,0
5226,16,SUMATERA SELATAN,1603,MUARA ENIM,KEBAKARAN,6/3/2012,0,0,0,0
16365,16,SUMATERA SELATAN,1605,MUSI RAWAS,BANJIR,6/5/2004,0,0,0,0
9167,16,SUMATERA SELATAN,1605,MUSI RAWAS,KEBAKARAN,6/5/2010,0,0,0,0
7014,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,PUTING BELIUNG,6/5/2011,0,0,0,0
11089,16,SUMATERA SELATAN,1671,KOTA PALEMBANG,KEBAKARAN,6/6/2009,0,0,1,687
6841,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,6/6/2011,0,0,0,0
4341,16,SUMATERA SELATAN,1673,KOTA PAGAR ALAM,KEBAKARAN,6/8/2012,0,0,0,0
4340,16,SUMATERA SELATAN,1603,MUARA ENIM,KEBAKARAN,6/8/2012,0,0,0,0
18187,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,GEMPA BUMI,6/9/1933,0,0,0,0
8603,16,SUMATERA SELATAN,1671,PALEMBANG,KEBAKARAN,6/9/2010,0,0,0,0
2334,16,SUMATERA SELATAN,1608,OGAN KOMERING ULU SELATAN,BANJIR,6/9/2013,0,0,4,0
5811,16,SUMATERA SELATAN,1604,LAHAT,BANJIR,7/1/2012,0,0,0,0
1785,16,"	SUMATERA SELATAN",1607,BANYUASIN,BANJIR,7/1/2014,0,0,0,1240
2274,16,SUMATERA SELATAN,1672,KOTA PRABUMULIH,PUTING BELIUNG,7/10/2013,0,0,0,16
2013,16,SUMATERA SELATAN,1603,MUARA ENIM,BANJIR,7/12/2013,0,0,0,0
2014,16,SUMATERA SELATAN,1603,MUARA ENIM,TANAH LONGSOR,7/12/2013,0,0,0,0
9337,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,PUTING BELIUNG,7/4/2010,0,0,0,0
7251,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,KEBAKARAN,7/4/2011,0,0,0,0
1235,16,"	SUMATERA SELATAN",1605,MUSI RAWAS,BANJIR,7/4/2014,0,0,0,0
7003,16,SUMATERA SELATAN,1602,OGAN KOMERING ILIR,KEBAKARAN,7/5/2011,0,0,0,0
8830,16,SUMATERA SELATAN,1611,EMPAT LAWANG,PUTING BELIUNG,7/7/2010,0,0,0,0
4334,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,7/8/2012,0,0,0,0
6331,16,SUMATERA SELATAN,1611,EMPAT LAWANG,KEBAKARAN,7/9/2011,0,0,0,0
10166,16,SUMATERA SELATAN,1606,MUSI BANYU ASIN,BANJIR,8/1/2010,0,0,0,460
