No,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Jenis Bencana,Tanggal,Meninggal,Hilang,Terluka,Mengungsi
16710,52,NUSA TENGGARA BARAT,5202,LOMBOK TENGAH,GEMPA BUMI,2/1/2004,0,0,0,0
16711,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,GEMPA BUMI,2/1/2004,0,0,0,0
8037,52,NUSA TENGGARA BARAT,5207,SUMBAWA BARAT,BANJIR,2/1/2011,0,0,0,0
3536,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,BANJIR,2/1/2013,0,0,0,0
3538,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,2/1/2013,0,0,0,0
3540,52,NUSA TENGGARA BARAT,5207,SUMBAWA BARAT,BANJIR,2/1/2013,0,0,0,0
3537,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,PUTING BELIUNG,2/1/2013,0,0,0,0
3539,52,NUSA TENGGARA BARAT,5204,SUMBAWA,PUTING BELIUNG,2/1/2013,0,0,0,0
1837,52,"	NUSA TENGGARA BARAT",5201,LOMBOK BARAT,TANAH LONGSOR,2/1/2014,0,0,2,0
17730,52,NUSA TENGGARA BARAT,5206,BIMA,PUTING BELIUNG,2/3/1999,0,0,0,0
14818,52,NUSA TENGGARA BARAT,5202,LOMBOK TENGAH,BANJIR,2/4/2006,0,0,0,0
17914,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,2/5/1998,0,0,0,0
17695,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,KEBAKARAN,2/6/1999,0,0,0,0
8710,52,NUSA TENGGARA BARAT,5306,BELU,BANJIR DAN TANAH LONGSOR,2/8/2010,0,0,0,0
1663,52,"	NUSA TENGGARA BARAT",5203,LOMBOK TIMUR,BANJIR,20/1/2014,0,0,0,912
12401,52,NUSA TENGGARA BARAT,5204,SUMBAWA,KEBAKARAN,20/10/2008,0,0,0,0
15965,52,NUSA TENGGARA BARAT,5206,BIMA,PUTING BELIUNG,20/11/2004,0,0,0,180
17768,52,NUSA TENGGARA BARAT,5205,DOMPU,KEBAKARAN,20/12/1998,0,0,0,0
3054,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,20/3/2013,0,0,0,0
18136,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,BANJIR,20/9/1975,0,0,0,0
8540,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,PUTING BELIUNG,20/9/2010,0,0,2,0
15901,52,NUSA TENGGARA BARAT,5205,DOMPU,PUTING BELIUNG,21/12/2004,0,0,0,0
17712,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,21/3/1999,0,0,0,0
13017,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,21/3/2008,0,0,0,300
14778,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR,21/4/2006,0,0,0,0
17901,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,21/5/1998,0,0,0,0
17834,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,21/9/1998,0,0,0,0
17835,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,21/9/1998,0,0,0,0
17790,52,NUSA TENGGARA BARAT,5271,MATARAM,GEMPA BUMI DAN TSUNAMI,22/11/1998,0,0,0,0
15264,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR,22/11/2005,0,0,0,10
12143,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,BANJIR,22/12/2008,0,0,2,0
2569,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,GEMPA BUMI,22/6/2013,0,0,29,0
6300,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,22/9/2011,0,0,0,0
17181,52,NUSA TENGGARA BARAT,5205,DOMPU,KEBAKARAN,23/1/2003,0,0,0,1977
12390,52,NUSA TENGGARA BARAT,5204,SUMBAWA,PUTING BELIUNG,23/10/2008,0,0,0,0
3661,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,23/12/2012,0,0,0,0
304,52,"	NUSA TENGGARA BARAT",5272,KOTA BIMA,BANJIR,23/12/2014,0,1,0,0
8518,52,NUSA TENGGARA BARAT,5271,MATARAM,BANJIR,23/9/2010,0,0,0,800
17747,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR,24/1/1999,0,0,0,0
17174,52,NUSA TENGGARA BARAT,5204,SUMBAWA,GEMPA BUMI,24/1/2003,0,0,2,1977
3660,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,24/12/2012,0,0,0,3320
1885,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,24/12/2013,0,0,0,0
13005,52,NUSA TENGGARA BARAT,5207,SUMBAWA BARAT,BANJIR,24/3/2008,0,1,2,0
12848,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,KEBAKARAN,24/5/2008,0,0,0,0
8513,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR,24/9/2010,0,0,2,120
17811,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,25/10/1998,0,0,0,0
13540,52,NUSA TENGGARA BARAT,5272,KOTA BIMA,GEMPA BUMI,25/11/2007,0,0,10,1280
15193,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,25/12/2005,0,0,0,0
1881,52,NUSA TENGGARA BARAT,5272,KOTA BIMA,BANJIR,25/12/2013,0,0,0,0
14931,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR,25/2/2006,0,0,0,78
17708,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR,25/3/1999,0,0,0,0
8505,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,PUTING BELIUNG,25/9/2010,0,0,6,0
8508,52,NUSA TENGGARA BARAT,5271,MATARAM,PUTING BELIUNG,25/9/2010,0,0,2,0
8507,52,NUSA TENGGARA BARAT,5271,MATARAM,PUTING BELIUNG,25/9/2010,0,0,0,0
16664,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,26/1/2004,0,0,0,0
17787,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,KEBAKARAN,26/11/1998,0,0,0,0
3644,52,NUSA TENGGARA BARAT,5207,SUMBAWA BARAT,BANJIR,26/12/2012,0,0,0,0
4712,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,26/5/2012,0,2,0,0
8751,52,NUSA TENGGARA BARAT,5306,BELU,PUTING BELIUNG,26/7/2010,0,0,0,0
12373,52,NUSA TENGGARA BARAT,5204,SUMBAWA,KEBAKARAN,27/10/2008,0,0,0,0
2201,52,NUSA TENGGARA BARAT,5205,DOMPU,PUTING BELIUNG,27/10/2013,0,0,0,0
2200,52,NUSA TENGGARA BARAT,5204,SUMBAWA,PUTING BELIUNG,27/10/2013,0,0,0,0
17785,52,NUSA TENGGARA BARAT,5204,SUMBAWA,KEBAKARAN,27/11/1998,0,0,0,0
17263,52,NUSA TENGGARA BARAT,5271,KOTA MATARAM,BANJIR,27/11/2002,0,0,0,0
13443,52,NUSA TENGGARA BARAT,5202,LOMBOK TENGAH,BANJIR,27/12/2007,0,0,0,0
275,52,"	NUSA TENGGARA BARAT",5208,LOMBOK UTARA,BANJIR,27/12/2014,0,0,0,200
7382,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,27/3/2011,0,0,0,0
7380,52,NUSA TENGGARA BARAT,5202,LOMBOK TENGAH,BANJIR,27/3/2011,0,0,0,0
7381,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,27/3/2011,0,0,0,256
17833,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,27/9/1998,0,0,0,0
15039,52,NUSA TENGGARA BARAT,5272,KOTA BIMA,BANJIR,28/1/2006,0,0,0,14125
2195,52,NUSA TENGGARA BARAT,5205,DOMPU,PUTING BELIUNG,28/10/2013,0,0,0,0
3796,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,PUTING BELIUNG,28/11/2012,0,0,0,0
3640,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,BANJIR,28/12/2012,0,0,0,0
15651,52,NUSA TENGGARA BARAT,5207,SUMBAWA BARAT,BANJIR,28/3/2005,0,0,0,0
17391,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR DAN TANAH LONGSOR,29/1/2002,0,0,0,317
7783,52,NUSA TENGGARA BARAT,5202,LOMBOK TENGAH,PUTING BELIUNG,29/1/2011,0,0,0,0
5537,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,29/1/2012,0,0,0,0
12372,52,NUSA TENGGARA BARAT,5204,SUMBAWA,KEBAKARAN,29/10/2008,0,0,0,0
14839,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,29/3/2006,0,0,0,570
17676,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,KEBAKARAN,29/6/1999,0,0,0,0
3528,52,NUSA TENGGARA BARAT,5205,DOMPU,TANAH LONGSOR,3/1/2013,0,0,0,0
3527,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,3/1/2013,0,0,0,0
12444,52,NUSA TENGGARA BARAT,5204,SUMBAWA,KEBAKARAN,3/10/2008,0,0,0,0
16610,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,3/2/2004,0,0,2,0
16609,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,3/2/2004,0,0,0,0
15738,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,3/2/2005,0,0,0,9810
14816,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,3/4/2006,0,0,0,0
12955,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,3/4/2008,0,0,0,0
15027,52,NUSA TENGGARA BARAT,5205,DOMPU,PUTING BELIUNG,30/1/2006,0,0,0,0
24,52,"	NTB",5272,KOTA BIMA,BANJIR,30/1/2015,0,0,0,0
502,52,"	NUSA TENGGARA BARAT",5272,KOTA BIMA,PUTING BELIUNG,30/11/2014,0,0,1,0
1043,52,"	NUSA TENGGARA BARAT",5206,BIMA,LETUSAN GUNUNG API,30/5/2014,0,0,0,0
17886,52,NUSA TENGGARA BARAT,5202,LOMBOK TENGAH,KEBAKARAN,30/6/1998,0,0,0,0
1582,52,"	NUSA TENGGARA BARAT",5272,KOTA BIMA,PUTING BELIUNG,31/1/2014,0,0,0,0
12,52,"	NTB",5205,DOMPU,BANJIR,31/1/2015,0,0,0,0
10218,52,NUSA TENGGARA BARAT,5204,SUMBAWA,PUTING BELIUNG,4/1/2010,0,0,0,0
3517,52,NUSA TENGGARA BARAT,5208,LOMBOK UTARA,BANJIR DAN TANAH LONGSOR,4/1/2013,0,0,0,405
2162,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,PUTING BELIUNG,4/11/2013,0,0,0,0
17729,52,NUSA TENGGARA BARAT,5206,BIMA,PUTING BELIUNG,4/3/1999,0,0,0,0
17728,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,4/3/1999,0,0,0,0
